Time,SG 1,SG 2,SG 3,SG 4,SG 5,SG 6,Hall Effect
0,7.185573953,0.507648198,-6.084822865,-1.471579762,-5.078382731,0.582862871,0.030806065
0.001008034,7.187171608,0.501257178,-6.16696135,-1.472538088,-5.082854975,0.585099651,0.030806065
0.002012253,7.186532546,0.499339872,-6.206272765,-1.47764916,-5.089563341,0.584460571,0.030806065
0.003005981,7.185893484,0.500618076,-6.21873736,-1.478926928,-5.095313369,0.586377811,0.030806065
0.004003048,7.19100598,0.50189628,-6.22001578,-1.478926928,-5.099466167,0.587016891,0.030806065
0.005002022,7.193881759,0.501576729,-6.218417755,-1.478288044,-5.102021735,0.587655971,0.030806065
0.006001949,7.195479414,0.49870077,-6.21937657,-1.47924637,-5.105535641,0.582223791,0.030806065
0.007000923,6.898954646,0.484001424,-6.233119585,-1.488510188,-5.117674589,0.565607711,-0.029382706
0.007999897,6.842078128,0.478569057,-6.235676425,-1.490746282,-5.120549603,0.559536451,-0.029382706
0.009001255,6.842078128,0.478569057,-6.235676425,-1.490746282,-5.120549603,0.559536451,-0.029382706
0.010007858,7.035713914,0.491031546,-6.222253015,-1.477968602,-5.106174533,0.572957131,-0.029382706
0.011003017,7.098661521,0.497422566,-6.21681973,-1.47126032,-5.097549491,0.579028391,-0.029382706
0.012001038,7.174709899,0.499659423,-6.213943285,-1.468704784,-5.090202233,0.581904251,-0.029382706
0.012999058,7.174709899,0.49870077,-6.211386445,-1.470621436,-5.088285557,0.580306551,-0.029382706
0.014000893,7.162887252,0.493268403,-6.20978842,-1.471579762,-5.086688327,0.575193911,-0.029382706
0.014998913,7.173431775,0.511163259,-5.846397535,-1.457843756,-5.064646553,0.590531831,-0.029382706
0.015999794,7.164165376,0.500937627,-6.030490015,-1.466149248,-5.067521567,0.579987011,0.022552013
0.017001152,7.15905288,0.499978974,-6.066285775,-1.465190922,-5.065924337,0.579347931,0.022552013
0.017999172,7.149147419,0.491990199,-6.115504945,-1.470940878,-5.068160459,0.574554831,0.022552013
0.0189991,7.135088055,0.484960077,-6.20914921,-1.477329718,-5.073591041,0.568164031,0.022552013
0.020000935,7.134768524,0.48911424,-6.20659237,-1.473496414,-5.068799351,0.572637591,0.022552013
0.021001816,7.131573214,0.489753342,-6.20787079,-1.473176972,-5.068160459,0.571998511,0.022552013
0.021998882,7.131573214,0.489753342,-6.20787079,-1.473176972,-5.068160459,0.571998511,0.022552013
0.02300024,7.131892745,0.486557832,-6.20659237,-1.473496414,-5.070396581,0.567844491,0.022552013
0.024000168,6.923878064,0.467704323,-6.220335385,-1.484357442,-5.086368881,0.546754851,0.022552013
0.024998188,7.031879542,0.477290853,-6.21170605,-1.47764916,-5.079021623,0.556341051,-0.01250267
0.025999069,7.004399876,0.479208159,-6.212664865,-1.47605195,-5.080299407,0.560175531,-0.01250267
0.026998043,7.14627164,0.487836036,-6.20914921,-1.46966311,-5.078382731,0.569761731,-0.01250267
0.027999878,7.14627164,0.491351097,-6.210747235,-1.46966311,-5.079341069,0.573596211,-0.01250267
0.028998852,7.156496632,0.496144362,-6.206911975,-1.467107574,-5.076785501,0.579347931,-0.01250267
0.030002117,7.166082562,0.495824811,-6.21170605,-1.46966311,-5.084452205,0.577750231,-0.01250267
0.030999184,7.174070837,0.496463913,-6.212025655,-1.471579762,-5.086688327,0.577111151,-0.01250267
0.031999111,7.196438007,0.513080565,-5.86397581,-1.461038176,-5.074549379,0.593088151,-0.01250267
0.032999039,7.196438007,0.518832483,-5.820189925,-1.455927104,-5.074868825,0.599159411,-0.01250267
0.03399992,7.205704406,0.518832483,-5.820189925,-1.455927104,-5.074868825,0.599159411,-0.01250267
0.03499794,7.194520821,0.504133137,-6.131485195,-1.47285753,-5.089882787,0.585738731,0.007688999
0.035996914,7.191964573,0.505411341,-6.214582495,-1.476371392,-5.097230045,0.588934131,0.007688999
0.036995888,7.190366918,0.504452688,-6.21554131,-1.476371392,-5.099146721,0.588614591,0.007688999
0.037999153,7.190047387,0.502535382,-6.215860915,-1.47605195,-5.100743951,0.585099651,0.007688999
0.038995266,7.19100598,0.499659423,-6.215860915,-1.47605195,-5.102660627,0.581265171,0.007688999
0.039999962,7.19100598,0.499659423,-6.215860915,-1.47605195,-5.102660627,0.581265171,0.007688999
0.040994167,6.951677261,0.487196934,-6.220335385,-1.479565812,-5.104257857,0.566566331,0.007688999
0.041994095,6.987464733,0.486877383,-6.220335385,-1.477010276,-5.102021735,0.565927251,0.007688999
0.042994022,7.159372411,0.492629301,-6.2149021,-1.471579762,-5.093396693,0.572637591,-0.005350113
0.04399395,7.159372411,0.500298525,-6.20914921,-1.465190922,-5.083813313,0.580945631,-0.005350113
0.045004845,7.167041155,0.500298525,-6.20914921,-1.465190922,-5.083813313,0.580626091,-0.005350113
0.046000957,7.158094287,0.499339872,-6.210108025,-1.46646869,-5.082535529,0.580626091,-0.005350113
0.047001839,7.152023198,0.497103015,-6.209468815,-1.468704784,-5.082216083,0.578389311,-0.005350113
0.047999859,7.15905288,0.506050443,-6.188374885,-1.459760408,-5.059854863,0.587975511,-0.005350113
0.049002171,7.153940384,0.50189628,-5.98606492,-1.461357618,-5.057618741,0.582543331,-0.005350113
0.050003052,7.143715392,0.49230975,-6.02889199,-1.468385342,-5.059215971,0.572957131,-0.005350113
0.051001072,7.139561489,0.488155587,-6.140434135,-1.470621436,-5.058257633,0.570400811,-0.005350113
0.052000999,7.132851338,0.484320975,-6.203715925,-1.474774182,-5.062090985,0.566246791,-0.000987053
0.052999973,7.130614621,0.484320975,-6.20723158,-1.473496414,-5.061452093,0.567844491,-0.000987053
0.053998947,7.133809931,0.487196934,-6.20787079,-1.472538088,-5.061452093,0.570400811,-0.000987053
0.054999828,7.1334904,0.484001424,-6.210108025,-1.474774182,-5.066243783,0.567524951,-0.000987053
0.055998802,7.140520082,0.484001424,-6.210108025,-1.476371392,-5.071354919,0.566566331,-0.000987053
0.057001114,7.140520082,0.484001424,-6.210108025,-1.476371392,-5.071354919,0.566566331,-0.000987053
0.058001041,6.83632657,0.466106568,-6.22576867,-1.48882963,-5.092438355,0.548991631,-0.000987053
0.059000969,6.814598462,0.465787017,-6.227366695,-1.480204696,-5.090521679,0.564010011,-0.000987053
0.060005188,7.135727117,0.489433791,-6.217139335,-1.475413066,-5.090841125,0.572957131,-0.000987053
0.061000824,7.173431775,0.497422566,-6.21618052,-1.470621436,-5.090521679,0.581904251,0.003955364
0.062001228,7.178544271,0.499978974,-6.215860915,-1.470301994,-5.092118909,0.584460571,0.003955364
0.063000202,7.183656767,0.499978974,-6.217139335,-1.470301994,-5.095952261,0.584780111,0.003955364
0.064001083,7.191645042,0.50509179,-6.213943285,-1.468385342,-5.094993923,0.586697351,0.003955364
0.065000057,7.212414557,0.523945299,-5.92406155,-1.456246546,-5.079341069,0.606189291,0.003955364
0.065999985,7.20698253,0.514358769,-6.006200035,-1.465510364,-5.088285557,0.596283551,0.003955364
0.066999912,7.206023937,0.512761014,-6.00268438,-1.4680659,-5.091799463,0.594366311,0.003955364
0.068000793,7.202828627,0.5082873,-6.144589,-1.47285753,-5.095313369,0.590531831,0.003955364
0.069000244,7.202828627,0.5082873,-6.144589,-1.47285753,-5.095313369,0.590531831,0.003955364
0.070006847,7.191964573,0.499339872,-6.21681973,-1.481801906,-5.104257857,0.582862871,0.003955364
0.070999146,7.189088794,0.500618076,-6.214582495,-1.477968602,-5.097868937,0.585099651,-0.007717609
0.071999073,7.184934891,0.498061668,-6.217139335,-1.47764916,-5.097230045,0.580945631,-0.007717609
0.072999001,7.170236465,0.481764567,-6.228645115,-1.485315768,-5.105855087,0.564010011,-0.007717609
